Typical Measured Spectrum of Semrock Di02-R594 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
592.8	0.00828
593.0	0.00891
593.2	0.00963
593.4	0.01036
593.6	0.01114
593.8	0.01209
594.0	0.01296
594.2	0.01399
594.4	0.01521
594.6	0.01644
594.8	0.01783
595.0	0.01944
595.2	0.02132
595.4	0.02346
595.6	0.02586
595.8	0.0286
596.0	0.03185
596.2	0.03558
596.4	0.03993
596.6	0.04538
596.8	0.05165
597.0	0.05932
597.2	0.06844
597.4	0.07984
597.6	0.0931
597.8	0.10936
598.0	0.12919
598.2	0.15277
598.4	0.18032
598.6	0.21126
598.8	0.2453
599.0	0.2832
599.2	0.32378
599.4	0.36583
599.6	0.40733
599.8	0.44944
600.0	0.48933
600.2	0.52641
600.4	0.56043
600.6	0.59081
600.8	0.61927
601.0	0.64715
601.2	0.67272
601.4	0.69767
601.6	0.72099
601.8	0.74612
602.0	0.76854
602.2	0.79016
602.4	0.81407
602.6	0.83884
602.8	0.85853
603.0	0.87738
603.2	0.89386
603.4	0.90679
603.6	0.92014
603.8	0.93241
604.0	0.94035
604.2	0.94752
604.4	0.95249
604.6	0.95476
604.8	0.95677
605.0	0.96022
605.2	0.96296
605.4	0.96305
605.6	0.96403
605.8	0.96478
606.0	0.96521
606.2	0.96511
606.4	0.96711
606.6	0.96444
606.8	0.96084
607.0	0.96049
607.2	0.96005
607.4	0.95991
607.6	0.96042
607.8	0.95981
608.0	0.96049
608.2	0.96026
608.4	0.95995
608.6	0.96134
608.8	0.96344
609.0	0.9632
609.2	0.96139
609.4	0.96019
609.6	0.95997
609.8	0.9595
610.0	0.95869
610.2	0.9583
610.4	0.95597
610.6	0.95416
610.8	0.95373
611.0	0.9522
611.2	0.95198
611.4	0.95188
611.6	0.95176
611.8	0.94873
612.0	0.9455
612.2	0.9463
612.4	0.94578
612.6	0.94866
612.8	0.949
