Typical Measured Spectrum of Semrock LD01-640/8 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
453.0	1.1188e-05
453.2	1.2833e-05
453.4	1.0265e-05
453.6	8.2105e-06
453.8	6.5674e-06
454.0	5.2531e-06
454.2	4.2018e-06
454.4	3.361e-06
454.6	2.6884e-06
454.8	2.1504e-06
455.0	1.72e-06
455.2	1.3758e-06
455.4	1.1005e-06
455.6	8.8024e-07
455.8	7.0408e-07
456.0	5.6318e-07
456.2	4.5048e-07
456.4	3.6032e-07
456.6	2.8822e-07
456.8	2.3054e-07
457.0	1.844e-07
457.2	1.475e-07
457.4	1.4115e-07
457.6	1.3943e-07
457.8	1.3772e-07
458.0	1.3603e-07
458.2	1.3437e-07
458.4	1.3272e-07
458.6	1.311e-07
458.8	1.2949e-07
459.0	1.2791e-07
459.2	1.2634e-07
459.4	1.248e-07
459.6	1.2327e-07
459.8	1.2176e-07
460.0	1.2027e-07
460.2	1.188e-07
460.4	1.1734e-07
460.6	1.1591e-07
460.8	1.1449e-07
461.0	1.1309e-07
461.2	1.117e-07
461.4	1.0091e-07
461.6	8.7235e-08
461.8	7.5414e-08
462.0	6.5194e-08
462.2	5.6359e-08
462.4	4.8722e-08
462.6	4.212e-08
462.8	3.6412e-08
463.0	3.1478e-08
463.2	2.7212e-08
463.4	2.3524e-08
463.6	2.0337e-08
463.8	1.7581e-08
464.0	1.5198e-08
464.2	1.3139e-08
464.4	1.1358e-08
464.6	9.8191e-09
464.8	8.4885e-09
465.0	7.3382e-09
465.2	6.3438e-09
465.4	6.4525e-09
465.6	7.6969e-09
465.8	9.1815e-09
466.0	1.0952e-08
466.2	1.3065e-08
466.4	1.5584e-08
466.6	1.859e-08
466.8	2.2176e-08
467.0	2.6453e-08
467.2	3.1555e-08
467.4	3.7641e-08
467.6	4.49e-08
467.8	5.356e-08
468.0	6.3891e-08
468.2	5.8255e-08
468.4	5.3116e-08
468.6	4.843e-08
468.8	4.4158e-08
469.0	4.0263e-08
469.2	3.6711e-08
469.4	3.3472e-08
469.6	3.052e-08
469.8	2.7827e-08
470.0	2.5373e-08
470.2	2.3926e-08
470.4	2.2585e-08
470.6	2.1319e-08
470.8	2.0124e-08
471.0	1.8996e-08
471.2	1.7932e-08
471.4	1.6927e-08
471.6	1.5978e-08
471.8	1.5083e-08
472.0	1.4237e-08
472.2	1.3439e-08
472.4	1.2686e-08
472.6	1.1975e-08
472.8	1.1304e-08
473.0	1.067e-08
473.2	1.0072e-08
473.4	9.5079e-09
473.6	8.975e-09
473.8	8.472e-09
474.0	7.9972e-09
474.2	7.871e-09
474.4	7.844e-09
474.6	7.8171e-09
474.8	7.7903e-09
475.0	7.7636e-09
475.2	7.737e-09
475.4	7.7105e-09
475.6	7.684e-09
475.8	7.6577e-09
476.0	7.6314e-09
476.2	7.6053e-09
476.4	7.5792e-09
476.6	7.5532e-09
476.8	7.5273e-09
477.0	7.5015e-09
477.2	7.4758e-09
477.4	7.4502e-09
477.6	7.4247e-09
477.8	7.3992e-09
478.0	7.3738e-09
478.2	7.8269e-09
478.4	8.6959e-09
478.6	9.6614e-09
478.8	1.0734e-08
479.0	1.1926e-08
479.2	1.325e-08
479.4	1.4721e-08
479.6	1.6356e-08
479.8	1.8172e-08
480.0	2.019e-08
